Name,Estimated unvaccinated prevalence,Estimated vaccinated prevalence,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire country,0.003567,0.003567,0.001122,2.3214,1.3691,0.003567
Blekinge,Unknown,Unknown,0.001291,2.3214,1.1022,0.003302
Dalarna,Unknown,Unknown,0.00215,2.3214,1.5259,0.007614
Gavleborg,Unknown,Unknown,0.000546,2.3214,1.2581,0.001596
Gotland,Unknown,Unknown,0.001022,2.3214,1.9355,0.004592
Halland,Unknown,Unknown,0.001656,2.3214,1.6829,0.006471
Jamtland Harjedalen,Unknown,Unknown,0.001047,2.3214,1.3077,0.003179
Jonkoping,Unknown,Unknown,0.000916,2.3214,1.4955,0.00318
Kalmar,Unknown,Unknown,0.00141,2.3214,1.2455,0.004076
Kronoberg,Unknown,Unknown,0.001693,2.3214,1.4978,0.005885
Norrbotten,Unknown,Unknown,0.00058,2.3214,1.3714,0.001846
Orebro,Unknown,Unknown,0.002342,2.3214,1.2044,0.006549
Ostergotland,Unknown,Unknown,0.001128,2.3214,1.4596,0.003822
Skane,Unknown,Unknown,0.000989,2.3214,1.406,0.003226
Sormland,Unknown,Unknown,0.001785,2.3214,1.0928,0.004527
Stockholm,Unknown,Unknown,0.000705,2.3214,1.3832,0.002264
Uppsala,Unknown,Unknown,0.001433,2.3214,1.3071,0.004349
Varmland,Unknown,Unknown,0.00194,2.3214,1.399,0.006302
Vasterbotten,Unknown,Unknown,0.000898,2.3214,1.0,0.002084
Vasternorrland,Unknown,Unknown,0.000884,2.3214,1.0,0.002053
Vastmanland,Unknown,Unknown,0.001359,2.3214,1.4609,0.004611
Vastra Gotaland,Unknown,Unknown,0.000993,2.3214,1.7164,0.003957
