Name,Estimated unvaccinated prevalence,Estimated vaccinated prevalence,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire state,0.001948,0.001948,0.000853,2.2812,1.0014,0.001948
Adams,0.000319,0.000319,0.00015,2.1279,1.0,0.000319
Asotin,0.003797,0.003797,0.001506,2.5221,1.0,0.003797
Benton,0.001536,0.001536,0.000661,2.3074,1.0075,0.001536
Chelan,0.001139,0.001139,0.000492,2.3133,1.0,0.001139
Clallam,0.001961,0.001961,0.000866,2.2296,1.0154,0.001961
Clark,0.001748,0.001748,0.000752,2.3261,1.0,0.001748
Columbia,0.001717,0.001717,0.000753,2.2812,1.0,0.001717
Cowlitz,0.002385,0.002385,0.001058,2.254,1.0,0.002385
Douglas,0.001107,0.001107,0.000507,2.1858,1.0,0.001107
Ferry,0.004854,0.004854,0.001836,2.2374,1.1818,0.004854
Franklin,0.00091,0.00091,0.000399,2.2796,1.0,0.00091
Garfield,0.006151,0.006151,0.002697,2.2812,1.0,0.006151
Grant,0.010956,0.010956,0.002466,2.2215,2.0,0.010956
Grays Harbor,0.00155,0.00155,0.000666,2.3275,1.0,0.00155
Island,0.005292,0.005292,0.00121,2.273,1.9245,0.005292
Jefferson,0.00383,0.00383,0.001397,2.3059,1.1892,0.00383
King,0.002033,0.002033,0.000827,2.2796,1.0782,0.002033
Kitsap,0.001618,0.001618,0.000718,2.2522,1.0,0.001618
Kittitas,0.003982,0.003982,0.000918,2.2195,1.9545,0.003982
Klickitat,0.000879,0.000879,0.000401,2.1907,1.0,0.000879
Lewis,0.001345,0.001345,0.000582,2.3104,1.0,0.001345
Lincoln,0.004561,0.004561,0.001006,2.2679,2.0,0.004561
Mason,0.001224,0.001224,0.000539,2.2696,1.0,0.001224
Okanogan,0.001446,0.001446,0.000663,2.1809,1.0,0.001446
Pacific,0.005681,0.005681,0.001246,2.2796,2.0,0.005681
Pend Oreille,0.002979,0.002979,0.001312,2.2713,1.0,0.002979
Pierce,0.002294,0.002294,0.00096,2.2763,1.0496,0.002294
San Juan,0.00106,0.00106,0.000455,2.3289,1.0,0.00106
Skagit,0.002157,0.002157,0.000944,2.2844,1.0,0.002157
Skamania,0.002719,0.002719,0.000745,2.2812,1.6,0.002719
Snohomish,0.002255,0.002255,0.000914,2.2907,1.0776,0.002255
Spokane,0.002201,0.002201,0.000962,2.2876,1.0,0.002201
Stevens,0.002192,0.002192,0.000984,2.2276,1.0,0.002192
Thurston,0.001788,0.001788,0.000743,2.2713,1.0591,0.001788
Wahkiakum,0.000508,0.000508,0.000223,2.2812,1.0,0.000508
Walla Walla,0.003021,0.003021,0.001333,2.2662,1.0,0.003021
Whatcom,0.00118,0.00118,0.000506,2.3316,1.0,0.00118
Whitman,0.000565,0.000565,0.00024,2.3605,1.0,0.000565
Yakima,0.002468,0.002468,0.001036,2.3074,1.0319,0.002468
