Name,Population,Cases in past week,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire country,1404676330,361,0.0,3.8416,1.4615,1e-06
Anhui,63240000,0,0.0,3.8416,1.0,0.0
Beijing,21540000,3,0.0,3.8416,1.0,1e-06
Chongqing,31020000,0,0.0,3.8416,1.0,0.0
Fujian,39410000,19,1e-06,3.8416,1.7273,3e-06
Gansu,26370000,2,0.0,3.8416,1.0,0.0
Guangdong,113460000,38,0.0,3.8416,1.52,2e-06
Guangxi,49260000,0,0.0,3.8416,1.0,0.0
Guizhou,36000000,0,0.0,3.8416,1.0,0.0
Hainan,9340000,0,0.0,3.8416,1.0,0.0
Hebei,75560000,0,0.0,3.8416,1.0,0.0
Heilongjiang,37730000,0,0.0,3.8416,1.0,0.0
Henan,96050000,5,0.0,3.8416,2.0,0.0
Hubei,59170000,2,0.0,3.8416,1.0,0.0
Hunan,68990000,2,0.0,3.8416,1.0,0.0
Inner Mongolia,25340000,4,0.0,3.8416,2.0,2e-06
Jiangsu,80510000,155,2e-06,3.8416,2.0,1.5e-05
Jiangxi,46480000,0,0.0,3.8416,1.0,0.0
Jilin,27040000,1,0.0,3.8416,1.0,0.0
Liaoning,43590000,4,0.0,3.8416,1.0,0.0
Ningxia,6880000,0,0.0,3.8416,1.0,1e-06
Qinghai,6030000,0,0.0,3.8416,1.0,1e-06
Shaanxi,38640000,1,0.0,3.8416,1.0,0.0
Shandong,100470000,1,0.0,3.8416,1.0,0.0
Shanghai,24240000,11,0.0,3.8416,1.0,2e-06
Shanxi,37180000,0,0.0,3.8416,1.0,0.0
Sichuan,83410000,15,0.0,3.8416,1.5,1e-06
Tianjin,15600000,3,0.0,3.8416,1.0,1e-06
Tibet,3440000,0,0.0,3.8416,1.0,1e-06
Xinjiang,24870000,0,0.0,3.8416,1.0,0.0
Yunnan,48300000,83,2e-06,3.8416,1.0,7e-06
Zhejiang,57370000,0,0.0,3.8416,1.0,0.0
Hong Kong,7496988,9,1e-06,3.8416,1.0,5e-06
Macau,649342,3,6e-06,3.8416,2.0,4.7e-05
