Name,Population,Cases in past week,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire country,1404676330,546,0.0,3.8215,1.2466,2e-06
Anhui,63240000,0,0.0,3.8215,1.0,0.0
Beijing,21540000,9,0.0,3.8215,2.0,4e-06
Chongqing,31020000,2,0.0,3.8215,1.0,0.0
Fujian,39410000,21,1e-06,3.8215,1.2353,3e-06
Gansu,26370000,0,0.0,3.8215,1.0,0.0
Guangdong,113460000,25,0.0,3.8215,1.0,1e-06
Guangxi,49260000,0,0.0,3.8215,1.0,0.0
Guizhou,36000000,0,0.0,3.8215,1.0,0.0
Hainan,9340000,1,0.0,3.8215,1.0,1e-06
Hebei,75560000,0,0.0,3.8215,1.0,0.0
Heilongjiang,37730000,0,0.0,3.8215,1.0,0.0
Henan,96050000,22,0.0,3.8215,2.0,2e-06
Hubei,59170000,15,0.0,3.8215,2.0,2e-06
Hunan,68990000,40,1e-06,3.8215,2.0,5e-06
Inner Mongolia,25340000,5,0.0,3.8215,1.25,1e-06
Jiangsu,80510000,215,3e-06,3.8215,1.3438,1.4e-05
Jiangxi,46480000,0,0.0,3.8215,1.0,0.0
Jilin,27040000,1,0.0,3.8215,1.0,0.0
Liaoning,43590000,3,0.0,3.8215,1.0,0.0
Ningxia,6880000,1,0.0,3.8215,1.0,1e-06
Qinghai,6030000,0,0.0,3.8215,1.0,1e-06
Shaanxi,38640000,5,0.0,3.8215,1.0,1e-06
Shandong,100470000,12,0.0,3.8215,2.0,1e-06
Shanghai,24240000,28,1e-06,3.8215,1.5556,7e-06
Shanxi,37180000,1,0.0,3.8215,1.0,0.0
Sichuan,83410000,13,0.0,3.8215,1.0,1e-06
Tianjin,15600000,10,1e-06,3.8215,2.0,5e-06
Tibet,3440000,0,0.0,3.8215,1.0,1e-06
Xinjiang,24870000,0,0.0,3.8215,1.0,0.0
Yunnan,48300000,93,2e-06,3.8215,1.0,7e-06
Zhejiang,57370000,5,0.0,3.8215,1.0,0.0
Hong Kong,7496988,15,2e-06,3.8215,1.0714,9e-06
Macau,649342,4,8e-06,3.8215,1.0,2.9e-05
