Name,Estimated unvaccinated prevalence,Estimated vaccinated prevalence,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire country,3e-05,3e-05,1.4e-05,2.0875,1.0,3e-05
Andaman and Nicobar Islands,Unknown,Unknown,1.2e-05,2.0875,1.0,2.5e-05
Andhra Pradesh,Unknown,Unknown,7e-06,2.0875,1.0,1.4e-05
Arunachal Pradesh,Unknown,Unknown,3e-06,2.0875,1.0,7e-06
Assam,Unknown,Unknown,0.0,2.0875,1.0,1e-06
Bihar,Unknown,Unknown,1e-06,2.0875,1.0,1e-06
Chandigarh,Unknown,Unknown,3.8e-05,2.0875,1.0,7.9e-05
Chhattisgarh,Unknown,Unknown,6e-06,2.0875,1.0,1.2e-05
Dadra and Nagar Haveli and Daman and Diu,Unknown,Unknown,3e-06,2.0875,1.0,7e-06
Delhi,Unknown,Unknown,5.5e-05,2.0875,1.0,0.000115
Goa,Unknown,Unknown,4.2e-05,2.0875,1.0,8.7e-05
Gujarat,Unknown,Unknown,4e-06,2.0875,1.0,8e-06
Haryana,Unknown,Unknown,2.7e-05,2.0875,1.0,5.6e-05
Himachal Pradesh,Unknown,Unknown,4.5e-05,2.0875,1.0,9.4e-05
Jammu and Kashmir,Unknown,Unknown,9e-06,2.0875,1.0,1.9e-05
Jharkhand,Unknown,Unknown,5e-06,2.0875,1.0,1e-05
Karnataka,Unknown,Unknown,1.5e-05,2.0875,1.0,3.1e-05
Kerala,Unknown,Unknown,0.000197,2.0875,1.0,0.000412
Ladakh,Unknown,Unknown,0.000157,2.0875,1.0,0.000327
Madhya Pradesh,Unknown,Unknown,4e-06,2.0875,1.0,8e-06
Maharashtra,Unknown,Unknown,1.4e-05,2.0875,1.0,2.9e-05
Manipur,Unknown,Unknown,2.9e-05,2.0875,1.0,6e-05
Meghalaya,Unknown,Unknown,1.6e-05,2.0875,1.0,3.3e-05
Mizoram,Unknown,Unknown,0.001759,2.0875,1.0,0.003672
Nagaland,Unknown,Unknown,7e-06,2.0875,1.0,1.5e-05
Odisha,Unknown,Unknown,1.3e-05,2.0875,1.0,2.7e-05
Puducherry,Unknown,Unknown,7e-06,2.0875,1.0,1.5e-05
Punjab,Unknown,Unknown,9e-06,2.0875,1.0,1.9e-05
Rajasthan,Unknown,Unknown,8e-06,2.0875,1.0,1.6e-05
Sikkim,Unknown,Unknown,1.9e-05,2.0875,1.0,3.9e-05
Tamil Nadu,Unknown,Unknown,8e-06,2.0875,1.0,1.7e-05
Telangana,Unknown,Unknown,1.3e-05,2.0875,1.0,2.7e-05
Tripura,Unknown,Unknown,0.0,2.0875,1.0,1e-06
Uttar Pradesh,Unknown,Unknown,2e-06,2.0875,1.0,5e-06
Uttarakhand,Unknown,Unknown,1.6e-05,2.0875,1.0,3.3e-05
West Bengal,Unknown,Unknown,5e-06,2.0875,1.0,1e-05
Lakshadweep,Unknown,Unknown,3.1e-05,2.0875,1.0,6.5e-05
