Name,Estimated unvaccinated prevalence,Estimated vaccinated prevalence,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire country,0.004034,0.004034,0.001308,2.5453,1.2114,0.004034
Acre,Unknown,Unknown,0.001222,2.9533,1.0,0.00361
Alagoas,Unknown,Unknown,0.000736,2.9533,1.0563,0.002297
Amapa,Unknown,Unknown,0.00027,2.9533,1.0,0.000796
Amazonas,Unknown,Unknown,7.1e-05,2.9533,1.0,0.000209
Bahia,Unknown,Unknown,0.001083,2.9533,1.4154,0.004529
Ceara,Unknown,Unknown,0.001107,2.9533,1.0,0.00327
Distrito Federal,Unknown,Unknown,0.003427,2.9533,1.1055,0.011189
Espirito Santo,Unknown,Unknown,0.005125,2.9533,1.0,0.015137
Goias,Unknown,Unknown,0.002524,2.9533,1.9062,0.014209
Maranhao,Unknown,Unknown,0.000197,2.9533,1.0,0.000581
Mato Grosso,Unknown,Unknown,0.002983,2.9533,1.0,0.00881
Mato Grosso do Sul,Unknown,Unknown,0.000593,2.9533,1.222,0.002139
Minas Gerais,Unknown,Unknown,0.002114,2.9533,1.7199,0.010738
Para,Unknown,Unknown,0.000373,2.9533,1.2952,0.001426
Paraiba,Unknown,Unknown,0.001836,2.9533,1.0,0.005423
Parana,Unknown,Unknown,0.001813,2.9533,1.1934,0.00639
Pernambuco,Unknown,Unknown,0.001022,2.9533,1.2582,0.003797
Piaui,Unknown,Unknown,0.000584,2.9533,1.8095,0.003118
Rio de Janeiro,Unknown,Unknown,0.000815,2.9533,1.0,0.002406
Rio Grande do Norte,Unknown,Unknown,0.001238,2.9533,1.0,0.003657
Rio Grande do Sul,Unknown,Unknown,0.002815,2.9533,1.8404,0.015298
Rondonia,Unknown,Unknown,0.001299,2.9533,1.3264,0.005089
Roraima,Unknown,Unknown,0.000799,2.9533,1.0,0.00236
Santa Catarina,Unknown,Unknown,0.001665,2.9533,1.0,0.004917
Sao Paulo,Unknown,Unknown,0.000578,2.9533,1.0,0.001707
Sergipe,Unknown,Unknown,0.001219,2.9533,1.0,0.0036
Tocantins,Unknown,Unknown,0.002258,2.9533,1.6063,0.01071
